Perguntas,Tags
"Possuo um projeto Node.js porém preciso criar um executável para Windows e um para Linux, ambos contendo ainda o Node.js embutido.  Eu consegui fazer algo parecido numa aplicação CODE  utilizando um plugin para o Grunt, porém gostaria de saber como fazer isso em uma aplicação Node.js normal. ",node.js
"Gostaria de fazer testes unitários no Node.js, estou utilizando o CODE , porém ele não reconhece a variável CODE , CODE  e nem CODE .  Há uma maneira de resolver isso ou alguém sugere um framework de testes mais adequado ao node? Estou utilizando em conjunto com o grunt.  As minhas configurações:  CODE  ",node.js
Como inverter a ordem com que o jQuery itera uma array de elementos?  Neste caso o que eu gostaria é de inverter o conteúdo dos items dentro da array.  Por exemplo:  CODE,jquery
"Eu tenho uma página onde pretendo utilizar um conjunto de WebWorkers para realizar tarefas em segundo plano. Cada WebWorker tem uma função específica, porém potencialmente útil aos demais. É simples receber/enviar mensagens de/para um WebWorker criado pela página (ou criado por um WebWorker específico, no caso de sub-workers), pois existe uma referência para o CODE  na qual pode-se adicionar ouvintes ou chamar métodos:  CODE   Mas se, digamos, o CODE  quiser enviar uma mensagem ao CODE , é possível fazê-lo sem ""rotear"" a mensagem através do thread principal? (i.e. o CODE  do CODE  recebe a mensagem e faz um CODE  pro CODE )  A razão é performance: como o HTML5 Web Messaging serializa os parâmetros da mensagem (e no momento dessa escrita a maioria dos navegadores ainda não dão suporte a CODE s), esse ""roteamento"" exigiria que os dados fossem serializados e de-serializados duas vezes, ainda que o overhead de se enviar duas mensagens fosse negligível (o que nem sempre é verdade, uma vez que certas aplicações - WebGL por exemplo - podem manter o thread principal ocupado por muito tempo). ",html
"Como exibir os dados retornados do FireStore em uma diretiva do Angular ngModel?  Gostaria de pegar os dados que é retornado do FireStore e exibir em uma diretiva do Angular ngModel, exibindo em uma tela de edição.  pessoa.model.ts:  CODE   pessoa.service.ts  CODE   pessoa-view.ts:  CODE   pessoa-edit.component.html:  CODE  ",html angular 
"Vi esse vídeo (link abaixo) e gostaria de construir um elemento que somente aparecesse quando a rolagem atingir o ""ponto que toque nele"". Creio que deve ser javascript. Se alguém souber ficaria muito grato :D Tentei linkar os arquivos e add a div no meu projeto mas ela simplesmente sumiu.  OBS: Ele mostra o efeito em 3:46  https://www.youtube.com/watch?v=tdgDr_icGdo ",html 
"Eu consigo fazer uma requisição de upload de um arquivo através Postman, mas quando eu faço o pedido do Angular, é retornado o WARN ""Required MultipartFile parameter 'file' is not present""   Segue meu recurso na API feita em Java com Spring boot.  CODE   E meu serviço em Angular. Estou usando o JWT, mas também estou tentando fazer a requisição usando o HttpClient.  CODE   Eu consigo fazer a requisição pelo postman normalmente.    Eu tentei muitas soluções que eu encontrei, como criar um Bean MultipartResolver e etc, mas nenhuma solução resolveu meu problema e o que eu acho mais interessante é que ele funciona normalmente no Postman.  Cabeçalho da requisição no navegador que está causando o problema.    Cabeçalho do postman no qual a requisição funciona corretamente.  ",angular
"Está apresentando o seguinte erro:  'ionic' não é reconhecido como um comando interno ou externo, um programa operável ou um arquivo em lotes.  Porém esse comando aparece só no cmder, no prompt do node.js que instalei funciona ""normal"". Ao criar uma aplicação com Ionic 3 não atualiza a página durante o desenvolvimento, quando salva, por exemplo. Poder ser outro problema ou realemente é a variável de ambiente? Segue minha configuração de variáveis de ambiente.  ",node.js
"Tenho um formulário reativo e eu preciso mostrar esse card somente quando no meu array CODE  for diferente de CODE . Acontece que inicialmente não existe o CODE , então ele retorna:     Cannot read property 'indexvariacaoatributo' of undefined   O que eu tentei:  CODE   Existe alguma alternativa pra eu só mostrar esse card quando minha propriedade do meu array (indexvariacaoatributo) seja diferente de null antes dela existir? ",angular
"Eu estou com esse problema e não faço ideia de como resolver, quero salvar imagens no storage da Azure  CODE   O erro e apontado aqui      let type = matches[1];   mas eu não consigo entender para resolver, e a mensagem de erro:      TypeError: Cannot read property '1' of null   não ajuda muito, alguém pode ajudar? ",node.js
Estou retornando alguns parâmetros e preciso desmembrar esses parâmetros salvando em duas tabelas.  Segue o código inicial:  lamina.controller.js  CODE   lamina.service.js  CODE   LaminaResource.java  CODE   SimulacaoService.java  CODE,angular
"Tenho esse html que vou inserindo conforme preciso:  CODE   Se eu coloco um id/classe em uma div e coloco um evento de click nela logo abaixo não funciona.  EX:  CODE   Isso não acontece nada, como se ele não reconhecesse essa classe. Alguém sabe oq pode ser? ",jquery
"Bem, estou desenvolvendo um app com o ionic 3 e o Firebase(banco RealTime). Estava ocorrendo tudo normalmente. Quando instalei o firebase-admin, ""estourou"" vários erros. Como devo proceder ? Segue os erros abaixo :  CODE  ",node.js
